date Sat Sep 28 00:08:36.429 2024
base hex  timestamps absolute
internal events logged
Begin Triggerblock Wed Jan 07 11:36:56.173 1970
 0.000000 Start of measurement
 0.140627 1  ErrorFrame
 0.140883 1  ErrorFrame
 0.141139 1  ErrorFrame
 0.141395 1  ErrorFrame
 0.141651 1  ErrorFrame
 0.141907 1  ErrorFrame
 0.142163 1  ErrorFrame
 0.142462 1  ErrorFrame
 0.142718 1  ErrorFrame
 0.142974 1  ErrorFrame
 0.143230 1  ErrorFrame
 0.143486 1  ErrorFrame
 0.143742 1  ErrorFrame
 0.143998 1  ErrorFrame
 0.144254 1  ErrorFrame
 0.144510 1  ErrorFrame
 0.144766 1  ErrorFrame
 0.145022 1  ErrorFrame
 0.145278 1  ErrorFrame
 0.145534 1  ErrorFrame
 0.145790 1  ErrorFrame
 0.146046 1  ErrorFrame
 0.146302 1  ErrorFrame
 0.146558 1  ErrorFrame
 0.146814 1  ErrorFrame
 0.147070 1  ErrorFrame
 0.147326 1  ErrorFrame
 0.147582 1  ErrorFrame
 0.147838 1  ErrorFrame
 0.148136 1  ErrorFrame
 0.148392 1  ErrorFrame
 0.148648 1  ErrorFrame
 0.148904 1  ErrorFrame
 0.149160 1  ErrorFrame
 0.149416 1  ErrorFrame
 0.149672 1  ErrorFrame
 0.149928 1  ErrorFrame
 0.150184 1  ErrorFrame
 0.150440 1  ErrorFrame
 0.150696 1  ErrorFrame
 0.150952 1  ErrorFrame
 0.151208 1  ErrorFrame
 0.151464 1  ErrorFrame
 0.151720 1  ErrorFrame
 0.151976 1  ErrorFrame
 0.152232 1  ErrorFrame
 0.152488 1  ErrorFrame
 0.152744 1  ErrorFrame
 0.153000 1  ErrorFrame
 0.153256 1  ErrorFrame
 0.153555 1  ErrorFrame
 0.153811 1  ErrorFrame
 0.154067 1  ErrorFrame
 0.154323 1  ErrorFrame
 0.154579 1  ErrorFrame
 0.154835 1  ErrorFrame
 0.155091 1  ErrorFrame
 0.155347 1  ErrorFrame
 0.155603 1  ErrorFrame
 0.155859 1  ErrorFrame
 0.156115 1  ErrorFrame
 0.156371 1  ErrorFrame
 0.156627 1  ErrorFrame
 0.156883 1  ErrorFrame
 0.157139 1  ErrorFrame
 0.157395 1  ErrorFrame
 0.157651 1  ErrorFrame
 0.157907 1  ErrorFrame
 0.158163 1  ErrorFrame
 0.158419 1  ErrorFrame
 0.158675 1  ErrorFrame
 0.158974 1  ErrorFrame
 0.159230 1  ErrorFrame
 0.159486 1  ErrorFrame
 0.159742 1  ErrorFrame
 0.159998 1  ErrorFrame
 0.160254 1  ErrorFrame
 0.160510 1  ErrorFrame
 0.160766 1  ErrorFrame
 0.161022 1  ErrorFrame
 0.161278 1  ErrorFrame
 0.161534 1  ErrorFrame
 0.161790 1  ErrorFrame
 0.162046 1  ErrorFrame
 0.162302 1  ErrorFrame
 0.162558 1  ErrorFrame
 0.162814 1  ErrorFrame
 0.163070 1  ErrorFrame
 0.163326 1  ErrorFrame
 0.163582 1  ErrorFrame
 0.163838 1  ErrorFrame
 0.164094 1  ErrorFrame
 0.164350 1  ErrorFrame
 0.164648 1  ErrorFrame
 0.164904 1  ErrorFrame
 0.165160 1  ErrorFrame
 0.165416 1  ErrorFrame
 0.165672 1  ErrorFrame
 0.165928 1  ErrorFrame
 0.166184 1  ErrorFrame
 0.166440 1  ErrorFrame
 0.166696 1  ErrorFrame
 0.166952 1  ErrorFrame
 0.167208 1  ErrorFrame
 0.167464 1  ErrorFrame
 0.167720 1  ErrorFrame
 0.167976 1  ErrorFrame
 0.168232 1  ErrorFrame
 0.168488 1  ErrorFrame
 0.168744 1  ErrorFrame
 0.169000 1  ErrorFrame
 0.169256 1  ErrorFrame
 0.169512 1  ErrorFrame
 0.169768 1  ErrorFrame
 0.170067 1  ErrorFrame
 0.170323 1  ErrorFrame
 0.170579 1  ErrorFrame
 0.170835 1  ErrorFrame
 0.171091 1  ErrorFrame
 0.171347 1  ErrorFrame
 0.171603 1  ErrorFrame
 0.171859 1  ErrorFrame
 0.172115 1  ErrorFrame
 0.172371 1  ErrorFrame
 0.172627 1  ErrorFrame
 0.172883 1  ErrorFrame
 0.173139 1  ErrorFrame
 0.173395 1  ErrorFrame
 0.173651 1  ErrorFrame
 0.173907 1  ErrorFrame
 0.174163 1  ErrorFrame
 0.174419 1  ErrorFrame
 0.174675 1  ErrorFrame
 0.174931 1  ErrorFrame
 0.175187 1  ErrorFrame
 0.175485 1  ErrorFrame
 0.175741 1  ErrorFrame
 0.175997 1  ErrorFrame
 0.176253 1  ErrorFrame
 0.176509 1  ErrorFrame
 0.176765 1  ErrorFrame
 0.177021 1  ErrorFrame
 0.177277 1  ErrorFrame
 0.177533 1  ErrorFrame
 0.177789 1  ErrorFrame
 0.178045 1  ErrorFrame
 0.178301 1  ErrorFrame
 0.178557 1  ErrorFrame
 0.178813 1  ErrorFrame
 0.179069 1  ErrorFrame
 0.179325 1  ErrorFrame
 0.179581 1  ErrorFrame
 0.179837 1  ErrorFrame
 0.180093 1  ErrorFrame
 0.180349 1  ErrorFrame
 0.180605 1  ErrorFrame
 0.180861 1  ErrorFrame
 0.181160 1  ErrorFrame
 0.181416 1  ErrorFrame
 0.181672 1  ErrorFrame
 0.181928 1  ErrorFrame
 0.182184 1  ErrorFrame
 0.182440 1  ErrorFrame
 0.182696 1  ErrorFrame
 0.182952 1  ErrorFrame
 0.183208 1  ErrorFrame
 0.183464 1  ErrorFrame
 0.183720 1  ErrorFrame
 0.183976 1  ErrorFrame
 0.184232 1  ErrorFrame
 0.184488 1  ErrorFrame
 0.184744 1  ErrorFrame
 0.185000 1  ErrorFrame
 0.185256 1  ErrorFrame
 0.185512 1  ErrorFrame
 0.185768 1  ErrorFrame
 0.186024 1  ErrorFrame
 0.186280 1  ErrorFrame
 0.186578 1  ErrorFrame
 0.186834 1  ErrorFrame
 0.187090 1  ErrorFrame
 0.187346 1  ErrorFrame
 0.187602 1  ErrorFrame
 0.187858 1  ErrorFrame
 0.188114 1  ErrorFrame
 0.188370 1  ErrorFrame
 0.188626 1  ErrorFrame
 0.188882 1  ErrorFrame
 0.189138 1  ErrorFrame
 0.189394 1  ErrorFrame
 0.189650 1  ErrorFrame
 0.189906 1  ErrorFrame
 0.190162 1  ErrorFrame
 0.190418 1  ErrorFrame
 0.190674 1  ErrorFrame
 0.190930 1  ErrorFrame
 0.191186 1  ErrorFrame
 0.191442 1  ErrorFrame
 0.191698 1  ErrorFrame
 0.191997 1  ErrorFrame
 0.192253 1  ErrorFrame
 0.192509 1  ErrorFrame
 0.192765 1  ErrorFrame
 0.193021 1  ErrorFrame
 0.193277 1  ErrorFrame
 0.193533 1  ErrorFrame
 0.193789 1  ErrorFrame
 0.194045 1  ErrorFrame
 0.194301 1  ErrorFrame
 0.194557 1  ErrorFrame
 0.194813 1  ErrorFrame
 0.195069 1  ErrorFrame
 0.195325 1  ErrorFrame
 0.195581 1  ErrorFrame
 0.195837 1  ErrorFrame
 0.196093 1  ErrorFrame
 0.196349 1  ErrorFrame
 0.196605 1  ErrorFrame
 0.196861 1  ErrorFrame
 0.197117 1  ErrorFrame
 0.197373 1  ErrorFrame
 0.197672 1  ErrorFrame
 0.197928 1  ErrorFrame
 0.198184 1  ErrorFrame
 0.198440 1  ErrorFrame
 0.198696 1  ErrorFrame
 0.198952 1  ErrorFrame
 0.199208 1  ErrorFrame
 0.199464 1  ErrorFrame
 0.199720 1  ErrorFrame
 0.199976 1  ErrorFrame
 0.200232 1  ErrorFrame
 0.200488 1  ErrorFrame
 0.200744 1  ErrorFrame
 0.201000 1  ErrorFrame
 0.201256 1  ErrorFrame
 0.201512 1  ErrorFrame
 0.201768 1  ErrorFrame
 0.202024 1  ErrorFrame
 0.202280 1  ErrorFrame
 0.202536 1  ErrorFrame
 0.202792 1  ErrorFrame
 0.203090 1  ErrorFrame
 0.203346 1  ErrorFrame
 0.203602 1  ErrorFrame
 0.203858 1  ErrorFrame
 0.204114 1  ErrorFrame
 0.204370 1  ErrorFrame
 0.204626 1  ErrorFrame
 0.204882 1  ErrorFrame
 0.205138 1  ErrorFrame
 0.205394 1  ErrorFrame
 0.205650 1  ErrorFrame
 0.205906 1  ErrorFrame
 0.206162 1  ErrorFrame
 0.206418 1  ErrorFrame
 0.206674 1  ErrorFrame
 0.206930 1  ErrorFrame
 0.207186 1  ErrorFrame
 0.207442 1  ErrorFrame
 0.207698 1  ErrorFrame
 0.207954 1  ErrorFrame
 0.208210 1  ErrorFrame
 0.208509 1  ErrorFrame
 0.208765 1  ErrorFrame
 0.209021 1  ErrorFrame
 0.209277 1  ErrorFrame
 0.209533 1  ErrorFrame
 0.209789 1  ErrorFrame
 0.210045 1  ErrorFrame
 0.210301 1  ErrorFrame
 0.210557 1  ErrorFrame
 0.210813 1  ErrorFrame
 0.211069 1  ErrorFrame
 0.211325 1  ErrorFrame
 0.211581 1  ErrorFrame
 0.211837 1  ErrorFrame
 0.212093 1  ErrorFrame
 0.212349 1  ErrorFrame
 0.212605 1  ErrorFrame
 0.212861 1  ErrorFrame
 0.213117 1  ErrorFrame
 0.213373 1  ErrorFrame
 0.213629 1  ErrorFrame
 0.213885 1  ErrorFrame
 0.214183 1  ErrorFrame
 0.214439 1  ErrorFrame
 0.214695 1  ErrorFrame
 0.214951 1  ErrorFrame
 0.215207 1  ErrorFrame
 0.215463 1  ErrorFrame
 0.215719 1  ErrorFrame
 0.215975 1  ErrorFrame
 0.216231 1  ErrorFrame
 0.216487 1  ErrorFrame
 0.216743 1  ErrorFrame
 0.216999 1  ErrorFrame
 0.217255 1  ErrorFrame
 0.217511 1  ErrorFrame
 0.217767 1  ErrorFrame
 0.218023 1  ErrorFrame
 0.218279 1  ErrorFrame
 0.218535 1  ErrorFrame
 0.218791 1  ErrorFrame
 0.219047 1  ErrorFrame
 0.219303 1  ErrorFrame
 0.219602 1  ErrorFrame
 0.219858 1  ErrorFrame
